bus_name,departure_time,pick_up_point,arrival_time,drop_of_point,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,date,duration_m,route
Vân Anh Limousine,11:00:00,Bến xe,14:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,15:00:00,Bến xe,18:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Bình Hoài Limousine,17:00:00,Văn phòng,19:20:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,140,Hà Nội - Thanh Hoá
Vĩnh Quang,15:25:00,Văn phòng,17:55:00,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,17:00:00,Bến xe,19:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,14:05:00,Bến xe,16:35:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,21:00:00,Bến xe,23:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,19:00:00,Bến xe,22:00:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Đức Phát,19:00:00,Văn phòng,21:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Vân Anh Limousine,18:00:00,Bến xe,21:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
36 Limousine,05:31:00,Văn phòng,08:01:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Thành Trung Limousine,12:00:00,Văn phòng,14:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
36 Limousine,16:00:00,Văn phòng,18:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,06:00:00,Văn phòng,08:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,200000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,06:00:00,Văn phòng,08:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,180000,0,0.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
Thành Trung Limousine,09:00:00,Văn phòng,11:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
36 Limousine,21:00:00,Văn phòng,23:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Thành Trung Limousine,13:00:00,Văn phòng,15:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
Thành Trung Limousine,10:00:00,Văn phòng,12:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
Thành Trung Limousine,16:00:00,Văn phòng,18:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
Bình Hoài Limousine,09:00:00,Văn phòng,11:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170,Hà Nội - Thanh Hoá
Bình Hoài Limousine,10:00:00,Văn phòng,12:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170,Hà Nội - Thanh Hoá
Bình Hoài Limousine,11:00:00,Văn phòng,13:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170,Hà Nội - Thanh Hoá
Đức Phát,22:00:00,Bến xe,00:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
An Phát,11:00:00,Văn phòng,14:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Bình Hoài Limousine,08:00:00,Văn phòng,10:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170,Hà Nội - Thanh Hoá
Bình Hoài Limousine,08:00:00,Văn phòng,10:20:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,140,Hà Nội - Thanh Hoá
Bình Hoài Limousine,15:00:00,Văn phòng,17:20:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,140,Hà Nội - Thanh Hoá
Vĩnh Quang,14:25:00,Văn phòng,16:55:00,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
An Phát,14:00:00,Văn phòng,17:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,19:00:00,Bến xe,22:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,12:00:00,Bến xe,15:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Bình Hoài Limousine,11:00:00,Văn phòng,13:20:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,140,Hà Nội - Thanh Hoá
Bình Hoài Limousine,16:00:00,Văn phòng,18:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170,Hà Nội - Thanh Hoá
Bình Hoài Limousine,13:00:00,Văn phòng,15:20:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,140,Hà Nội - Thanh Hoá
An Phát,17:00:00,Văn phòng,20:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vĩnh Quang,16:25:00,Văn phòng,18:55:00,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,07:00:00,Văn phòng,09:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Bình Hoài Limousine,10:00:00,Văn phòng,12:20:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,140,Hà Nội - Thanh Hoá
Vĩnh Quang,18:25:00,Văn phòng,20:55:00,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Vân Anh Limousine,18:00:00,Bến xe,21:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Bình Hoài Limousine,12:00:00,Văn phòng,14:20:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,140,Hà Nội - Thanh Hoá
Đức Phát,22:00:00,Văn phòng,00:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Vân Anh Limousine,14:00:00,Bến xe,17:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,22:00:00,Bến xe,01:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,22:30:00,Bến xe,02:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,210,Hà Nội - Thanh Hoá
Bình Hoài Limousine,17:00:00,Văn phòng,19:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170,Hà Nội - Thanh Hoá
Vân Anh Limousine,17:00:00,Bến xe,20:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,12:00:00,Bến xe,15:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Bình Hoài Limousine,06:00:00,Văn phòng,08:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170,Hà Nội - Thanh Hoá
Vân Anh Limousine,21:00:00,Bến xe,00:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,19:30:00,Bến xe,23:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,210,Hà Nội - Thanh Hoá
Bình Hoài Limousine,09:00:00,Văn phòng,11:20:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,140,Hà Nội - Thanh Hoá
Vân Anh Limousine,15:00:00,Bến xe,18:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,21:30:00,Bến xe,01:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,210,Hà Nội - Thanh Hoá
Vân Anh Limousine,21:30:00,Bến xe,00:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Bình Hoài Limousine,20:00:00,Văn phòng,22:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170,Hà Nội - Thanh Hoá
Đức Phát,14:00:00,Bến xe,17:20:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,200,Hà Nội - Thanh Hoá
Vân Anh Limousine,19:00:00,Bến xe,22:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,11:30:00,Bến xe,14:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,22:30:00,Bến xe,01:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,12:30:00,Bến xe,16:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,210,Hà Nội - Thanh Hoá
Vân Anh Limousine,14:30:00,Bến xe,17:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
An Phát,08:00:00,Văn phòng,11:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,16:30:00,Bến xe,20:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,210,Hà Nội - Thanh Hoá
Đức Phát,09:00:00,Bến xe,12:00:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
An Phát,16:00:00,Văn phòng,19:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Thành Trung Travel,08:00:00,Văn phòng,11:15:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,24,250000,225000,10.0,Wednesday,15-10-2025,195,Hà Nội - Thanh Hoá
An Phát,18:00:00,Văn phòng,21:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,22:30:00,Bến xe,01:30:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Vân Anh Limousine,16:00:00,Bến xe,19:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
An Phát,20:00:00,Văn phòng,23:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Đức Phát,13:00:00,Bến xe,16:00:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
36 Limousine,21:01:00,Văn phòng,23:31:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
36 Limousine,17:01:00,Văn phòng,19:31:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
36 Limousine,07:00:00,Văn phòng,09:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
36 Limousine,12:01:00,Văn phòng,14:31:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
36 Limousine,18:01:00,Văn phòng,20:31:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
36 Limousine,12:00:00,Văn phòng,14:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
36 Limousine,17:00:00,Văn phòng,19:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
36 Limousine,10:01:00,Văn phòng,12:31:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
36 Limousine,11:01:00,Văn phòng,13:31:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
36 Limousine,16:01:00,Văn phòng,18:31:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
36 Limousine,19:01:00,Văn phòng,21:31:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
36 Limousine,11:00:00,Văn phòng,13:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Vân Anh Limousine,13:30:00,Bến xe,17:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,210,Hà Nội - Thanh Hoá
Thành Trung Limousine,22:00:00,Văn phòng,00:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
Thành Trung Limousine,23:00:00,Văn phòng,01:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
Vân Anh Limousine,13:30:00,Bến xe,16:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Bình Hoài Limousine,14:00:00,Văn phòng,16:20:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,140,Hà Nội - Thanh Hoá
An Phát,09:00:00,Văn phòng,12:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
An Phát,13:00:00,Văn phòng,16:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
Bình Hoài Limousine,16:00:00,Văn phòng,18:20:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,140,Hà Nội - Thanh Hoá
Bình Hoài Limousine,20:00:00,Văn phòng,22:20:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,140,Hà Nội - Thanh Hoá
Bình Hoài Limousine,12:00:00,Văn phòng,14:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170,Hà Nội - Thanh Hoá
Đức Phát,15:01:00,Bến xe,17:31:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,15:01:00,Bến xe,18:21:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,200,Hà Nội - Thanh Hoá
Đức Phát,20:01:00,Bến xe,23:21:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,200,Hà Nội - Thanh Hoá
Đức Phát,18:00:00,Văn phòng,20:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,09:01:00,Bến xe,12:21:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,200,Hà Nội - Thanh Hoá
Đức Phát,09:01:00,Bến xe,11:31:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,20:01:00,Bến xe,22:31:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,18:01:00,Bến xe,20:31:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,13:00:00,Văn phòng,15:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,180000,0,0.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
Đức Phát,10:00:00,Văn phòng,12:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,180000,0,0.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
Đức Phát,15:00:00,Văn phòng,17:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,200000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,18:00:00,Văn phòng,20:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,200000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
Đức Phát,20:00:00,Văn phòng,22:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,180000,0,0.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
Đức Phát,09:00:00,Văn phòng,11:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,200000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
