,bus_company_name,departure_time,pick_up_point,arrival_time,drop_of_point,start_point,destination,rating_safety,rating_info_accuracy,Thông tin đầy đủ,rating_staff_attitude,rating_comfort,rating_service_quantity,rating_punctuality,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,departure_date,duration_minutes,route
608,Cúc Tùng,20:00:00,Bến xe,06:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
609,Như Ý 78,16:00:00,Bến xe,02:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135,34,200000000,200000000,0.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
610,Liên Hưng,19:30:00,Văn phòng,03:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,378000000,300000000,21.0,Saturday,11-10-2025,480,Sài Gòn - Nha Trang
611,Liên Hưng,18:30:00,Văn phòng,02:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,500000000,420000000,16.0,Saturday,11-10-2025,480,Sài Gòn - Nha Trang
612,Liên Hưng,20:00:00,Bến xe,03:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,378000000,300000000,21.0,Saturday,11-10-2025,450,Sài Gòn - Nha Trang
613,Liên Hưng,19:00:00,Bến xe,02:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,500000000,420000000,16.0,Saturday,11-10-2025,450,Sài Gòn - Nha Trang
614,Như Ý 78,17:00:00,Bến xe,02:15:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135,24,290000000,290000000,0.0,Saturday,11-10-2025,555,Sài Gòn - Nha Trang
615,Liên Hưng,09:00:00,Other,18:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
616,Cúc Tùng,19:00:00,Văn phòng,06:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
617,Tài Phát Limousine,17:15:00,Bến xe,02:05:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5.0,1170,24,520000000,450000000,13.0,Saturday,11-10-2025,530,Sài Gòn - Nha Trang
618,Hiếu Vinh,17:01:00,Bến xe,03:01:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
619,Hiếu Vinh,16:01:00,Bến xe,03:01:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,660,Sài Gòn - Nha Trang
620,Liên Hưng,13:30:00,Other,23:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
621,Hiếu Vinh,16:01:00,Bến xe,05:01:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,780,Sài Gòn - Nha Trang
622,Liên Hưng,08:30:00,Văn phòng,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
623,Liên Hưng,08:45:00,Other,16:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,465,Sài Gòn - Nha Trang
624,Cúc Tùng,07:00:00,Bến xe,17:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
625,Liên Hưng,08:00:00,Bến xe,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,630,Sài Gòn - Nha Trang
626,Cúc Tùng,06:30:00,Bến xe,18:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,562000000,299000000,47.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
627,Liên Hưng,13:00:00,Bến xe,23:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,630,Sài Gòn - Nha Trang
628,Mười Phương Express,13:00:00,Bến xe,21:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165,34,300000000,270000000,10.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
629,Hiếu Vinh,16:01:00,Bến xe,04:01:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,720,Sài Gòn - Nha Trang
630,Như Ý 78,17:00:00,Bến xe,02:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135,34,200000000,200000000,0.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
631,Liên Hưng,09:00:00,Other,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
632,Hiếu Vinh,16:01:00,Bến xe,01:46:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,585,Sài Gòn - Nha Trang
633,Hoàng Khang,15:30:00,Văn phòng,23:30:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,3.8,4.1,3.8,3.8,3.8,4.8,3.5,116,34,330000000,295000000,11.0,Saturday,11-10-2025,480,Sài Gòn - Nha Trang
634,Mười Phương Express,18:30:00,Bến xe,01:15:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165,24,400000000,360000000,10.0,Saturday,11-10-2025,405,Sài Gòn - Nha Trang
635,Khang Vy Limousine,18:45:00,Other,02:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.3,76,24,550000000,550000000,0.0,Saturday,11-10-2025,440,Sài Gòn - Nha Trang
636,Trung Thành,17:30:00,Bến xe,02:10:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.9,19,24,500000000,400000000,20.0,Saturday,11-10-2025,520,Sài Gòn - Nha Trang
637,Liên Hưng,08:30:00,Other,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
638,Tân Quang Dũng,05:00:00,Bến xe,15:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,3.8,2348,32,400000000,400000000,0.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
639,Khang Vy Limousine,19:00:00,Other,02:20:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.3,76,24,550000000,550000000,0.0,Saturday,11-10-2025,440,Sài Gòn - Nha Trang
640,Tân Quang Dũng,13:01:00,Bến xe,23:01:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,3.8,2348,22,1000000000,1000000000,0.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
641,Liên Hưng,08:30:00,Other,18:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
642,Như Ý 78,18:00:00,Bến xe,02:15:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135,24,290000000,290000000,0.0,Saturday,11-10-2025,495,Sài Gòn - Nha Trang
643,Hiếu Vinh,17:01:00,Bến xe,01:16:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,495,Sài Gòn - Nha Trang
644,Như Ý 78,17:00:00,Bến xe,02:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135,24,290000000,290000000,0.0,Saturday,11-10-2025,585,Sài Gòn - Nha Trang
645,Mười Phương Express,16:00:00,Bến xe,00:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165,34,300000000,270000000,10.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
646,Hiếu Vinh,17:01:00,Bến xe,05:01:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,720,Sài Gòn - Nha Trang
647,Cúc Tùng,20:30:00,Bến xe,07:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,562000000,299000000,47.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
648,Mười Phương Express,16:30:00,Bến xe,01:15:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165,24,400000000,360000000,10.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
649,Hiếu Vinh,16:01:00,Bến xe,01:16:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,555,Sài Gòn - Nha Trang
650,Cúc Tùng,04:00:00,Bến xe,16:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,755,Sài Gòn - Nha Trang
651,Mười Phương Express,18:00:00,Bến xe,00:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165,34,300000000,270000000,10.0,Saturday,11-10-2025,405,Sài Gòn - Nha Trang
652,Hoàng Khang,15:00:00,Bến xe,23:30:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,3.8,4.1,3.8,3.8,3.8,4.8,3.5,116,34,330000000,295000000,11.0,Saturday,11-10-2025,510,Sài Gòn - Nha Trang
653,Cúc Tùng,06:30:00,Văn phòng,18:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,562000000,299000000,47.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
654,Cúc Tùng,05:00:00,Bến xe,17:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,755,Sài Gòn - Nha Trang
655,Cúc Tùng,05:00:00,Văn phòng,16:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
656,Hiếu Vinh,17:01:00,Bến xe,01:46:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
657,Cúc Tùng,05:00:00,Bến xe,16:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
658,Cúc Tùng,07:30:00,Bến xe,18:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,562000000,299000000,47.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
659,Liên Hưng,07:30:00,Văn phòng,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,660,Sài Gòn - Nha Trang
660,Liên Hưng,14:00:00,Other,23:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
661,Liên Hưng,13:30:00,Văn phòng,23:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
662,Liên Hưng,14:00:00,Other,23:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
663,Liên Hưng,09:15:00,Other,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,555,Sài Gòn - Nha Trang
664,An Phú Buslines,18:00:00,Bến xe,01:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.6,1205,34,380000000,380000000,0.0,Saturday,11-10-2025,465,Sài Gòn - Nha Trang
665,Cúc Tùng,06:00:00,Bến xe,16:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
666,Tân Quang Dũng,13:30:00,Bến xe,23:30:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,3.8,2348,32,400000000,400000000,0.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
667,Liên Hưng,14:15:00,Other,23:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
668,An Phú Buslines,19:30:00,Văn phòng,03:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.6,1205,24,480000000,480000000,0.0,Saturday,11-10-2025,450,Sài Gòn - Nha Trang
669,Tân Quang Dũng,11:00:00,Bến xe,21:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,3.8,2348,32,400000000,400000000,0.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
670,Liên Hưng,13:30:00,Other,23:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
671,Ngọc Ánh Limousine,18:30:00,Bến xe,02:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.7,13,24,500000000,500000000,0.0,Saturday,11-10-2025,495,Sài Gòn - Nha Trang
672,Cúc Tùng,06:00:00,Văn phòng,17:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
673,Ngọc Ánh Limousine,17:30:00,Bến xe,02:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.7,13,24,500000000,500000000,0.0,Saturday,11-10-2025,555,Sài Gòn - Nha Trang
674,Liên Hưng,14:15:00,Other,23:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,555,Sài Gòn - Nha Trang
675,Ngọc Ánh Limousine,18:00:00,Other,02:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.7,13,24,500000000,500000000,0.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
676,Mạnh Hùng,19:01:00,Bến xe,02:01:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,2.8,300,22,500000000,500000000,0.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
677,Mai Quyên,21:30:00,Other,03:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,3.6,80,24,500000000,500000000,0.0,Saturday,11-10-2025,375,Sài Gòn - Nha Trang
678,Cúc Tùng,06:00:00,Bến xe,17:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
679,Khang Vy Limousine,16:00:00,Other,23:20:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.3,76,34,450000000,450000000,0.0,Saturday,11-10-2025,440,Sài Gòn - Nha Trang
680,Liên Hưng,09:15:00,Other,18:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
681,Mạnh Hùng,19:02:00,Bến xe,02:02:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,2.8,300,22,770000000,770000000,0.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
682,Mạnh Hùng,18:20:00,Bến xe,01:20:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,2.8,300,4,310000000,310000000,0.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
683,Mạnh Hùng,20:02:00,Bến xe,03:02:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,2.8,300,22,770000000,770000000,0.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
684,Mạnh Hùng,20:00:00,Bến xe,03:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,2.8,300,22,500000000,500000000,0.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
685,Thanh Thuỷ - Quảng Ngãi,18:00:00,Bến xe,02:55:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.5,935,24,500000000,450000000,10.0,Saturday,11-10-2025,535,Sài Gòn - Nha Trang
686,Huỳnh Gia,22:30:00,Văn phòng,04:55:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,38,280000000,250000000,11.0,Saturday,11-10-2025,385,Sài Gòn - Nha Trang
687,Huỳnh Gia,23:00:00,Văn phòng,05:25:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,385,Sài Gòn - Nha Trang
688,Huỳnh Gia,20:30:00,Văn phòng,03:25:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,450000000,6.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
689,Huỳnh Gia,22:10:00,Văn phòng,05:05:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
690,Huỳnh Gia,11:00:00,Văn phòng,17:25:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,385,Sài Gòn - Nha Trang
691,Huỳnh Gia,11:45:00,Văn phòng,18:10:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,385,Sài Gòn - Nha Trang
692,Nhật Dương - Bình Minh Bus,23:45:00,Other,06:06:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,22,349000000,304000000,13.0,Saturday,11-10-2025,381,Sài Gòn - Nha Trang
693,Huỳnh Gia,09:00:00,Văn phòng,15:55:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
694,Huỳnh Gia,10:00:00,Văn phòng,16:55:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
695,Huỳnh Gia,12:30:00,Văn phòng,19:25:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
696,Huỳnh Gia,15:00:00,Văn phòng,21:55:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,456000000,5.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
697,Khanh Phong,20:00:00,Văn phòng,01:55:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
698,Huỳnh Gia,22:45:00,Văn phòng,05:10:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,385,Sài Gòn - Nha Trang
699,Khanh Phong,12:10:00,Văn phòng,18:05:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
700,Khanh Phong,16:50:00,Văn phòng,22:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
701,Huỳnh Gia,22:20:00,Văn phòng,05:15:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,300000000,300000000,0.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
702,Nhật Dương - Bình Minh Bus,05:15:00,Other,12:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,21,349000000,304000000,13.0,Saturday,11-10-2025,455,Sài Gòn - Nha Trang
703,Nhật Dương - Bình Minh Bus,23:25:00,Other,05:46:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,22,349000000,304000000,13.0,Saturday,11-10-2025,381,Sài Gòn - Nha Trang
704,Nhật Dương - Bình Minh Bus,23:30:00,Other,07:05:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,21,349000000,304000000,13.0,Saturday,11-10-2025,455,Sài Gòn - Nha Trang
