bus_company,bus_star,bus_type,departure_time,pick_up_point,duration_h_m,arrival_time,drop_off_point,arrival_date,price_original,price_discount,discount_percent,notification,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,star_rating,num_reviews,duration_minutes,discount_percent_numeric
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),21:00,• Bến xe Miền Đông mới,9h20m,06:20,• Văn Phòng Nha Trang,(12/10),340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-12.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),19:30,• Văn Phòng Bình Thạnh,9h50m,05:20,• Văn Phòng Nha Trang,(12/10),531000,299000,-44%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,590,-44.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),22:30,• Bến xe Miền Đông mới,9h20m,07:50,• Văn Phòng Nha Trang,(12/10),541000,299000,-45%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-45.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:00,• Trường THCS An Phú Đông (QL1A),7h,03:00,• Văn Phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,420,-11.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,18:45,• Trường THCS An Phú Đông (QL1A),7h,01:45,• Văn Phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,420,-11.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,18:45,• Trường THCS An Phú Đông (QL1A),6h15m,01:00,• Văn phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,375,-11.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),11:30,• Bến xe Miền Đông mới,9h20m,20:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-12.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,19:15,• Cầu vượt Linh Xuân,6h30m,01:45,• Văn Phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,390,-11.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,19:45,• Siêu thị Đá An Sương,7h15m,03:00,• Văn Phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,435,-11.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:15,• Trường THCS An Phú Đông (QL1A),7h,03:15,• Văn Phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,420,-11.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:45,• Cầu vượt Linh Xuân,6h30m,03:15,• Văn Phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,390,-11.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:00,• Ngã 4 An Sương,7h15m,03:15,• Văn Phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,435,-11.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),09:30,• Bến xe Miền Đông mới,9h20m,18:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-12.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:15,• Cầu vượt Linh Xuân,6h45m,03:00,• Văn Phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,405,-11.0
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),23:00,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,05:10,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),480000,450000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845.0,370,-6.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),07:30,• Bến xe Miền Đông mới,9h20m,16:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-12.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),07:00,• Văn Phòng Bình Thạnh,9h50m,16:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,590,-12.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),20:00,• Bến xe Miền Đông mới,9h20m,05:20,• Văn Phòng Nha Trang,(12/10),340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-12.0
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),23:00,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,04:55,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),480000,450000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845.0,355,-6.0
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),09:45,• Văn phòng quận 5,9h,18:45,• Văn Phòng Diên Toàn, ,490000,300000,-39%,Hướng đi: Cao tốc Vĩnh Hảo - Dầu Giây,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,540,-39.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),08:15,• Văn Phòng Quận 5,10h35m,18:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,635,-12.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),21:30,• Bến xe Miền Đông mới,9h20m,06:50,• Văn Phòng Nha Trang,(12/10),340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-12.0
Quang Hạnh (NT),3.6 (362),Limousine 22 phòng đơn (WC),18:00,• Bến xe Miền Tây (Quầy 25),9h25m,03:25,• Bến Xe Phía Nam Nha Trang Mới,(12/10),480000,350000,-27%,Lưu ý kích cỡ giường,4.1,3.7,3.9,3.9,3.8,3.6,3.6,3.6,362.0,565,-27.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),06:30,• Bến Xe An Sương - Quầy vé số 10,10h20m,16:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,620,-12.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),19:30,• Văn Phòng Bình Thạnh,9h50m,05:20,• Văn Phòng Nha Trang,(12/10),340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,590,-12.0
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,19:00,• Bến xe Miền Đông mới,9h20m,04:20,• Văn Phòng Nha Trang,(12/10),362000,300000,-17%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-17.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),10:00,• Văn Phòng Bình Thạnh,9h50m,19:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,590,-12.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),09:15,• Văn Phòng Quận 5,10h35m,19:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,635,-12.0
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,05:00,• Bến Xe An Sương - Quầy vé số 10,10h20m,15:20,• Văn Phòng Nha Trang, ,362000,300000,-17%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,620,-17.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),10:30,• Bến Xe An Sương - Quầy vé số 10,10h20m,20:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,620,-12.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),10:30,• Bến xe Miền Đông mới,9h20m,19:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-12.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),09:30,• Bến Xe Miền Tây,12h20m,21:50,• Văn Phòng Nha Trang, ,541000,350000,-35%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,740,-35.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),09:00,• Bến Xe An Sương (Quầy vé 17),10h30m,19:30,• Văn phòng Nha Trang, ,330000,250000,-24%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,630,-24.0
Hà Linh,4.1 (1329),Limousine 34 Giường (rèm - không WC),22:45,• An Sương - Siêu thị đá,6h,04:45,• Văn Phòng Nha Trang,(12/10),450000,320000,-29%, ,4.4,4.3,4.3,4.2,4.0,4.0,4.8,4.1,1329.0,360,-29.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),22:30,• Bến xe Miền Đông mới,9h35m,08:05,• Bến xe Phía Bắc Nha Trang,(12/10),541000,299000,-45%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,575,-45.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),11:15,• Văn Phòng Quận 5,10h35m,21:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,635,-12.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),11:15,• Văn phòng Bình Thạnh,10h45m,22:00,• Văn phòng Nha Trang, ,330000,250000,-24%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,645,-24.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),13:30,• Văn phòng Bình Thạnh,9h30m,23:00,• Văn Phòng Diên Toàn, ,330000,250000,-24%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,570,-24.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),12:30,• Văn phòng quận 5,10h30m,23:00,• Văn Phòng Diên Toàn, ,330000,250000,-24%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,630,-24.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),11:30,• Bến Xe An Sương (Quầy vé 17),10h30m,22:00,• Văn phòng Nha Trang, ,330000,250000,-24%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,630,-24.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),10:00,• Bến xe Miền Đông mới,9h35m,19:35,• Bến xe Phía Bắc Nha Trang, ,541000,299000,-45%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,575,-45.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),10:00,• Bến xe Miền Đông mới,9h20m,19:20,• Văn Phòng Nha Trang, ,541000,299000,-45%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-45.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),08:45,• Văn phòng Bình Thạnh,10h45m,19:30,• Văn phòng Nha Trang, ,330000,250000,-24%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,645,-24.0
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,06:30,• Bến xe Miền Đông mới,9h20m,15:50,• Văn Phòng Nha Trang, ,362000,300000,-17%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-17.0
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,05:30,• Bến Xe An Sương - Quầy vé số 10,10h20m,15:50,• Văn Phòng Nha Trang, ,362000,300000,-17%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,620,-17.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),08:00,• Bến xe Miền Tây (Quầy 24),10h,18:00,• Văn Phòng Diên Toàn, ,330000,250000,-24%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,600,-24.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),08:30,• Văn Phòng Bình Thạnh,10h,18:30,• Bến Xe Phía Nam Diên Khánh, ,571000,299000,-48%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,600,-48.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),08:30,• Văn phòng Bình Thạnh,9h30m,18:00,• Văn Phòng Diên Toàn, ,330000,250000,-24%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,570,-24.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),11:30,• Bến Xe An Sương - Quầy vé số 10,10h20m,21:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,620,-12.0
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,06:00,• Bến xe Miền Đông mới,9h20m,15:20,• Văn Phòng Nha Trang, ,362000,300000,-17%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-17.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),11:00,• Văn Phòng Bình Thạnh,10h50m,21:50,• Văn Phòng Nha Trang, ,541000,350000,-35%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,650,-35.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),12:30,• Bến xe Miền Đông mới,9h20m,21:50,• Văn Phòng Nha Trang, ,541000,350000,-35%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,560,-35.0
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,18:30,• Văn Phòng Bình Thạnh,9h50m,04:20,• Văn Phòng Nha Trang,(12/10),362000,300000,-17%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,590,-17.0
Long Vân Limousine,4.5 (6899),Limousine phòng đôi 22 chỗ (WC),22:00,• Văn phòng Bình Thạnh,7h,05:00,• Văn Phòng Nha Trang,(12/10),350000,315000,-10%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.5,4.4,4.5,4.5,4.4,4.4,4.7,4.5,6899.0,420,-10.0
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),19:00,• Văn Phòng Phạm Ngũ Lão,8h50m,03:50,• Văn Phòng Phước Hải,(12/10),280000,238000,-15%, ,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,530,-15.0
Long Vân Limousine,4.5 (6899),Limousine phòng đôi 22 chỗ (WC),22:00,"• Bến Xe Miền Đông cũ - Cổng 2, Quầy vé 66",7h,05:00,• Văn Phòng Nha Trang,(12/10),350000,315000,-10%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.5,4.4,4.5,4.5,4.4,4.4,4.7,4.5,6899.0,420,-10.0
Long Vân Limousine,4.5 (6899),Limousine phòng đôi 22 chỗ (WC),13:00,"• Bến Xe Miền Đông cũ - Cổng 2, Quầy vé 66",7h,20:00,• Văn Phòng Nha Trang, ,350000,315000,-10%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.5,4.4,4.5,4.5,4.4,4.4,4.7,4.5,6899.0,420,-10.0
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),20:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,02:00,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),480000,450000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845.0,355,-6.0
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),20:00,• Cổng Bến xe Miền Tây,7h50m,03:50,• Văn Phòng Phước Hải,(12/10),280000,238000,-15%, ,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,470,-15.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),19:30,• Văn Phòng Bình Thạnh,11h35m,07:05,• Bến xe Ninh Hòa,(12/10),562000,299000,-47%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,695,-47.0
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),11:00,• Cầu Vượt Linh Xuân,7h45m,18:45,• Văn Phòng Diên Toàn, ,490000,300000,-39%,Hướng đi: Cao tốc Vĩnh Hảo - Dầu Giây,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,465,-39.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),12:30,• Văn phòng quận 5,11h,23:30,• Bến xe Ninh Hòa, ,363000,280000,-23%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,660,-23.0
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,20:00,• Bến xe Miền Đông mới,10h35m,06:35,• Bến xe Ninh Hòa,(12/10),388000,300000,-23%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,635,-23.0
Như Ý 78 (Phú Yên),4.6 (135),Limousine 34 chỗ,16:00,• Bến xe Miền Tây,10h,02:00,• Ninh Hòa (Dọc Quốc Lộ 1A),(12/10),200000,200000, ,Trung chuyển TP.Tuy Hòa,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135.0,600,
Liên Hưng,4 (12922),Limousine 32 giường (WC),19:30,• Văn phòng quận 5,8h,03:30,• Bến Xe Vạn Giã,(12/10),378000,300000,-21%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,480,-21.0
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),18:30,• Văn phòng quận 5,8h,02:30,• Bến Xe Vạn Giã,(12/10),500000,420000,-16%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,480,-16.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),20:00,• Bến xe Miền Tây (Quầy 24),7h30m,03:30,• Bến Xe Vạn Giã,(12/10),378000,300000,-21%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,450,-21.0
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),19:00,• Bến xe Miền Tây (Quầy 24),7h30m,02:30,• Bến Xe Vạn Giã,(12/10),500000,420000,-16%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,450,-16.0
Như Ý 78 (Phú Yên),4.6 (135),Limousine 24 phòng,17:00,• Bến xe Miền Tây,9h15m,02:15,• Ngã 3 Thành,(12/10),290000,290000, ,Trung chuyển TP.Tuy Hòa,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135.0,555,
Liên Hưng,4 (12922),Limousine 32 giường (WC),09:00,• Cầu Vượt Linh Xuân,9h,18:00,• Văn Phòng Diên Toàn, ,330000,250000,-24%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,540,-24.0
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,19:00,• Văn Phòng Bình Thạnh,11h35m,06:35,• Bến xe Ninh Hòa,(12/10),388000,300000,-23%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,695,-23.0
Tài Phát Limousine,5 (1170),Limousine 24 Phòng Đôi,17:15,• Bến xe Bến Cát,8h50m,02:05,• Ngã 3 Thành,(12/10),520000,450000,-13%,Trung chuyển bệnh viện,4.9,4.9,4.9,4.9,4.9,4.9,5.0,,,530,-13.0
Hiếu Vinh,4.3 (83),Giường nằm 40 chỗ,17:01,• Bến xe An Sương,10h,03:01,• Huyện Đông Hòa- Dọc QL1A,(12/10),200000,200000, ,Trung chuyển TP.Tuy Hòa,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83.0,600,
Hiếu Vinh,4.3 (83),Giường nằm 40 chỗ,16:01,• Bến xe Miền Tây,11h,03:01,• Huyện Đông Hòa- Dọc QL1A,(12/10),200000,200000, ,Trung chuyển TP.Tuy Hòa,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83.0,660,
Liên Hưng,4 (12922),Limousine 32 giường (WC),13:30,• Ngã 4 An Sương (Quốc Lộ 1A),9h30m,23:00,• Văn Phòng Diên Toàn, ,330000,250000,-24%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,570,-24.0
Hiếu Vinh,4.3 (83),Giường nằm 40 chỗ,16:01,• Bến xe Miền Tây,13h,05:01,• Bến xe Phú Hòa,(12/10),200000,200000, ,Trung chuyển TP.Tuy Hòa,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83.0,780,
Liên Hưng,4 (12922),Limousine 32 giường (WC),08:30,• Văn phòng Bình Thạnh,10h,18:30,• Bến xe Ninh Hòa, ,363000,280000,-23%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,600,-23.0
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),08:45,• Cầu Vượt Linh Xuân,7h45m,16:30,• Văn Phòng Diên Toàn, ,490000,300000,-39%,Hướng đi: Cao tốc Vĩnh Hảo - Dầu Giây,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,465,-39.0
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,07:00,• Bến xe Miền Đông mới,10h35m,17:35,• Bến xe Ninh Hòa, ,388000,300000,-23%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,635,-23.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),08:00,• Bến xe Miền Tây (Quầy 24),10h30m,18:30,• Bến xe Ninh Hòa, ,363000,280000,-23%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,630,-23.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),06:30,• Bến Xe An Sương - Quầy vé số 10,11h35m,18:05,• Bến xe Ninh Hòa, ,562000,299000,-47%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,695,-47.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),13:00,• Bến xe Miền Tây (Quầy 24),10h30m,23:30,• Bến xe Ninh Hòa, ,363000,280000,-23%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,630,-23.0
Mười Phương Express,4.2 (165),Luxury 34 phòng,13:00,• Bến Xe 378A Thoại Ngọc Hầu,8h45m,21:45,• Ngã Ba Thành, ,300000,270000,-10%, ,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165.0,525,-10.0
Hiếu Vinh,4.3 (83),Giường nằm 40 chỗ,16:01,• Bến xe Miền Tây,12h,04:01,• VP Tuy Hòa,(12/10),200000,200000, ,Trung chuyển TP.Tuy Hòa,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83.0,720,
Như Ý 78 (Phú Yên),4.6 (135),Limousine 34 chỗ,17:00,• Bến xe An Sương (Tp HCM).,9h,02:00,• Ninh Hòa (Dọc Quốc Lộ 1A),(12/10),200000,200000, ,Trung chuyển TP.Tuy Hòa,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135.0,540,
Liên Hưng,4 (12922),Limousine 32 giường (WC),09:00,• Cầu Vượt Linh Xuân,9h30m,18:30,• Bến xe Ninh Hòa, ,363000,280000,-23%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,570,-23.0
Hiếu Vinh,4.3 (83),Giường nằm 40 chỗ,16:01,• Bến xe Miền Tây,9h45m,01:46,• Ninh Hòa QL1A,(12/10),200000,200000, ,Trung chuyển TP.Tuy Hòa,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83.0,585,
Hoàng Khang,3.5 (116),Limousine 34 Phòng Đơn,15:30,• Văn Phòng An Sương,8h,23:30,• Ngã 3 Thành, ,330000,295000,-11%,Giá vé không bao ăn,4.3,3.8,4.1,3.8,3.8,3.8,4.8,3.5,116.0,480,-11.0
Mười Phương Express,4.2 (165),Limousine 24 phòng đôi,18:30,• Bến Xe 34 Tây Lân,6h45m,01:15,• Ngã Ba Thành,(12/10),400000,360000,-10%, ,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165.0,405,-10.0
Khang Vy Limousine,4.3 (76),Limousine 24 Phòng Đôi,18:45,• Trạm Sài Gòn,7h20m,02:05,• Bến Xe Ninh Hòa,(12/10),550000,550000, ,Thời gian đón/ trả,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.3,76.0,440,
Trung Thành,4.9 (19),Limousine 24 phòng,17:30,• Bến xe Miền Đông,8h40m,02:10,• Bến Xe Ninh Hòa,(12/10),500000,400000,-20%,Giá vé chưa bao ăn.,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.9,19.0,520,-20.0
Liên Hưng,4 (12922),Limousine 32 giường (WC),08:30,• Ngã 4 An Sương (Quốc Lộ 1A),10h,18:30,• Bến xe Ninh Hòa, ,363000,280000,-23%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,600,-23.0
Tân Quang Dũng,3.8 (2348),Limousine 32 phòng (WC),05:00,• Bến Xe An Sương,10h,15:00,• Ngã 3 Thành, ,400000,400000, ,Lưu ý đặt phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,3.8,2348.0,600,
Khang Vy Limousine,4.3 (76),Limousine 24 Phòng Đôi,19:00,• Trạm Sài Gòn,7h20m,02:20,• Bến Xe Ninh Hòa,(12/10),550000,550000, ,Thời gian đón/ trả,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.3,76.0,440,
